DQB1	EUR_freq	EUR_rank	AFA_freq	AFA_rank	API_freq	API_rank	HIS_freq	HIS_rank
0201g	0.23030	1	0.22314	1	0.10915	4	0.18525	3
0203	0.00000	NA	0.00303	14	0.00000	NA	0.00000	NA
0301g	0.18450	2	0.17374	3	0.19410	1	0.20046	1
0302	0.09504	5	0.03683	6	0.07614	5	0.18894	2
0303	0.04460	7	0.01646	11	0.12192	2	0.02074	9
0304	0.00140	14	0.00000	NA	0.00000	NA	0.00184	14
0305	0.00121	16	0.00000	NA	0.00044	16	0.00092	16
0401	0.00000	NA	0.00000	NA	0.04533	9	0.00000	NA
0402	0.02529	9	0.06846	5	0.02333	11	0.09078	5
0501	0.12281	4	0.15381	4	0.07394	6	0.11014	4
0502	0.01315	11	0.02730	8	0.07350	7	0.01613	10
0503	0.02497	10	0.01473	12	0.06206	8	0.01336	12
0504	0.00121	15	0.00000	NA	0.00000	NA	0.00046	18
0601	0.00769	13	0.00130	16	0.11928	3	0.01429	11
0602	0.14250	3	0.19801	2	0.04401	10	0.08065	6
0603	0.06512	6	0.02340	9	0.02289	12	0.04055	7
0604	0.03240	8	0.01950	10	0.01364	14	0.02765	8
0605	0.00000	NA	0.00043	17	0.00044	17	0.00000	NA
0608	0.00000	NA	0.00390	13	0.00000	NA	0.00092	15
0609	0.00781	12	0.03466	7	0.01893	13	0.00645	13
0610	0.00000	NA	0.00000	NA	0.00088	15	0.00000	NA
0611	0.00000	NA	0.00130	15	0.00000	NA	0.00046	17
